,NAME_2018,REDFIN_DATA,APARTMENT_LIST_DATA,cbsatitle,cbsa_state
39140,"Prescott, AZ Metro Area",,"Prescott, AZ","Prescott, AZ",0439140
39220,"Price, UT Micro Area",,,"Price, UT",4939220
39260,"Prineville, OR Micro Area",,,"Prineville, OR",4139260
39300,"Providence-Warwick, RI-MA Metro Area","Providence, RI metro area","Providence-Warwick, RI-MA","Providence-Warwick, RI-MA",2539300
39340,"Provo-Orem, UT Metro Area","Provo, UT metro area","Provo-Orem, UT","Provo-Orem, UT",4939340
39380,"Pueblo, CO Metro Area",,,"Pueblo, CO",0839380
39420,"Pullman, WA Micro Area",,,"Pullman, WA",5339420
39460,"Punta Gorda, FL Metro Area","Punta Gorda, FL metro area","Punta Gorda, FL","Punta Gorda, FL",1239460
39500,"Quincy, IL-MO Micro Area",,,"Quincy, IL-MO",1739500
39540,"Racine, WI Metro Area","Racine, WI metro area","Racine, WI","Racine, WI",5539540
39580,"Raleigh, NC Metro Area","Raleigh, NC metro area","Raleigh, NC","Raleigh, NC",3739580
39660,"Rapid City, SD Metro Area",,,"Rapid City, SD",4639660
39700,"Raymondville, TX Micro Area",,,"Raymondville, TX",4839700
39740,"Reading, PA Metro Area","Reading, PA metro area","Reading, PA","Reading, PA",4239740
39780,"Red Bluff, CA Micro Area",,,"Red Bluff, CA",0639780
39820,"Redding, CA Metro Area",,"Redding, CA","Redding, CA",0639820
39860,"Red Wing, MN Micro Area",,,"Red Wing, MN",2739860
39900,"Reno, NV Metro Area","Reno, NV metro area","Reno, NV","Reno, NV",3239900
39940,"Rexburg, ID Micro Area",,,"Rexburg, ID",1639940
39980,"Richmond, IN Micro Area",,,"Richmond, IN",1839980
40060,"Richmond, VA Metro Area","Richmond, VA metro area","Richmond, VA","Richmond, VA",5140060
40080,"Richmond-Berea, KY Micro Area",,,"Richmond-Berea, KY",2140080
40100,"Rio Grande City, TX Micro Area",,,"Rio Grande City, TX",4840100
40140,"Riverside-San Bernardino-Ontario, CA Metro Area","Riverside, CA metro area","Riverside-San Bernardino-Ontario, CA","Riverside-San Bernardino-Ontario, CA",0640140
40180,"Riverton, WY Micro Area",,,"Riverton, WY",5640180
40220,"Roanoke, VA Metro Area",,"Roanoke, VA","Roanoke, VA",5140220
40260,"Roanoke Rapids, NC Micro Area",,,"Roanoke Rapids, NC",3740260
40300,"Rochelle, IL Micro Area",,,"Rochelle, IL",1740300
40340,"Rochester, MN Metro Area","Rochester, MN metro area","Rochester, MN","Rochester, MN",2740340
40380,"Rochester, NY Metro Area","Rochester, NY metro area","Rochester, NY","Rochester, NY",3640380
40420,"Rockford, IL Metro Area","Rockford, IL metro area","Rockford, IL","Rockford, IL",1740420
40460,"Rockingham, NC Micro Area",,,"Rockingham, NC",3740460
40540,"Rock Springs, WY Micro Area",,,"Rock Springs, WY",5640540
40580,"Rocky Mount, NC Metro Area",,,"Rocky Mount, NC",3740580
40620,"Rolla, MO Micro Area",,,"Rolla, MO",2940620
40660,"Rome, GA Metro Area","Rome, GA metro area",,"Rome, GA",1340660
40700,"Roseburg, OR Micro Area",,,"Roseburg, OR",4140700
